Data,Valor
02/01/2002,49.61
03/01/2002,49.59
04/01/2002,49.79
07/01/2002,50.10
08/01/2002,49.92
09/01/2002,51.28
10/01/2002,51.66
11/01/2002,50.92
14/01/2002,50.95
15/01/2002,51.68
16/01/2002,51.81
17/01/2002,51.57
18/01/2002,51.53
21/01/2002,51.68
22/01/2002,51.08
23/01/2002,50.81
24/01/2002,50.97
25/01/2002,50.70
28/01/2002,50.65
29/01/2002,50.53
30/01/2002,49.87
31/01/2002,49.64
01/02/2002,49.50
04/02/2002,49.18
05/02/2002,48.88
06/02/2002,48.64
07/02/2002,48.53
08/02/2002,48.50
13/02/2002,48.58
14/02/2002,48.51
15/02/2002,48.67
18/02/2002,48.85
19/02/2002,48.89
20/02/2002,49.31
21/02/2002,50.50
22/02/2002,50.81
25/02/2002,50.26
26/02/2002,50.37
27/02/2002,50.18
28/02/2002,50.92
01/03/2002,50.63
04/03/2002,51.67
05/03/2002,52.10
06/03/2002,52.06
07/03/2002,53.98
08/03/2002,54.75
11/03/2002,58.82
12/03/2002,59.48
13/03/2002,57.29
14/03/2002,55.72
15/03/2002,54.79
18/03/2002,52.09
19/03/2002,53.63
20/03/2002,57.53
21/03/2002,56.76
22/03/2002,57.35
25/03/2002,56.69
26/03/2002,57.45
27/03/2002,58.28
28/03/2002,59.75
01/04/2002,59.08
02/04/2002,60.94
03/04/2002,59.76
04/04/2002,58.88
05/04/2002,57.86
08/04/2002,56.94
09/04/2002,58.34
10/04/2002,58.49
11/04/2002,57.23
12/04/2002,56.12
15/04/2002,56.55
16/04/2002,56.29
17/04/2002,56.08
18/04/2002,57.43
19/04/2002,56.26
22/04/2002,56.44
23/04/2002,57.19
24/04/2002,57.33
25/04/2002,56.52
26/04/2002,56.59
29/04/2002,56.11
30/04/2002,56.73
02/05/2002,57.06
03/05/2002,57.49
06/05/2002,57.42
07/05/2002,58.22
08/05/2002,58.17
09/05/2002,55.99
10/05/2002,56.46
13/05/2002,56.69
14/05/2002,57.15
15/05/2002,57.60
16/05/2002,58.00
17/05/2002,58.07
20/05/2002,59.60
21/05/2002,60.92
22/05/2002,59.39
23/05/2002,59.44
24/05/2002,59.52
27/05/2002,59.79
28/05/2002,60.05
29/05/2002,61.17
31/05/2002,61.48
03/06/2002,61.59
04/06/2002,61.74
05/06/2002,63.72
06/06/2002,64.89
07/06/2002,65.49
10/06/2002,64.13
11/06/2002,64.99
12/06/2002,65.58
13/06/2002,66.10
14/06/2002,64.74
17/06/2002,65.05
18/06/2002,64.92
19/06/2002,65.76
20/06/2002,66.26
21/06/2002,67.05
24/06/2002,68.04
25/06/2002,68.30
26/06/2002,68.61
27/06/2002,69.27
28/06/2002,68.32
01/07/2002,68.79
02/07/2002,70.16
03/07/2002,69.40
04/07/2002,69.37
05/07/2002,69.87
08/07/2002,69.52
10/07/2002,69.62
11/07/2002,71.13
12/07/2002,70.59
15/07/2002,68.22
16/07/2002,68.93
17/07/2002,70.05
18/07/2002,69.34
19/07/2002,69.37
22/07/2002,69.56
23/07/2002,69.67
24/07/2002,69.68
25/07/2002,70.24
26/07/2002,70.34
29/07/2002,69.54
30/07/2002,70.45
31/07/2002,71.78
01/08/2002,71.39
02/08/2002,71.76
05/08/2002,71.39
06/08/2002,72.42
07/08/2002,71.49
08/08/2002,70.83
09/08/2002,70.47
12/08/2002,71.07
13/08/2002,71.66
14/08/2002,72.18
15/08/2002,72.27
16/08/2002,71.83
19/08/2002,72.03
20/08/2002,72.17
21/08/2002,72.25
22/08/2002,73.11
23/08/2002,73.32
26/08/2002,72.83
27/08/2002,73.15
28/08/2002,75.58
29/08/2002,75.72
30/08/2002,75.59
02/09/2002,76.84
03/09/2002,78.51
04/09/2002,84.48
05/09/2002,85.04
06/09/2002,86.25
09/09/2002,91.50
10/09/2002,91.48
11/09/2002,93.48
12/09/2002,96.16
13/09/2002,96.54
16/09/2002,99.29
17/09/2002,100.85
18/09/2002,98.80
19/09/2002,94.96
20/09/2002,93.41
23/09/2002,94.98
24/09/2002,98.93
25/09/2002,103.31
26/09/2002,105.06
27/09/2002,106.14
30/09/2002,106.41
01/10/2002,108.39
02/10/2002,105.83
03/10/2002,107.90
04/10/2002,103.13
07/10/2002,100.63
08/10/2002,105.89
09/10/2002,108.18
10/10/2002,110.90
11/10/2002,111.23
14/10/2002,113.73
15/10/2002,123.17
16/10/2002,119.18
17/10/2002,117.95
18/10/2002,116.10
21/10/2002,119.21
22/10/2002,122.53
23/10/2002,120.70
24/10/2002,123.76
25/10/2002,123.69
28/10/2002,118.89
29/10/2002,117.70
30/10/2002,117.97
31/10/2002,118.67
01/11/2002,116.31
04/11/2002,116.51
05/11/2002,119.32
06/11/2002,121.05
07/11/2002,127.44
08/11/2002,127.14
11/11/2002,125.46
12/11/2002,123.76
13/11/2002,129.54
14/11/2002,132.76
18/11/2002,141.07
19/11/2002,140.02
20/11/2002,144.29
21/11/2002,142.54
22/11/2002,147.44
25/11/2002,146.12
26/11/2002,147.41
27/11/2002,149.19
28/11/2002,149.26
29/11/2002,151.12
02/12/2002,151.56
03/12/2002,152.62
04/12/2002,152.12
05/12/2002,153.70
06/12/2002,153.17
09/12/2002,149.88
10/12/2002,153.54
11/12/2002,149.90
12/12/2002,140.57
13/12/2002,139.55
16/12/2002,139.12
17/12/2002,142.08
18/12/2002,145.76
19/12/2002,146.19
20/12/2002,144.83
23/12/2002,145.90
26/12/2002,143.29
27/12/2002,143.76
30/12/2002,142.91
02/01/2003,146.32
03/01/2003,147.56
06/01/2003,145.25
07/01/2003,147.85
08/01/2003,145.99
09/01/2003,144.92
10/01/2003,145.75
13/01/2003,143.83
14/01/2003,143.96
15/01/2003,142.44
16/01/2003,142.52
17/01/2003,145.02
20/01/2003,147.75
21/01/2003,149.66
22/01/2003,157.62
23/01/2003,161.04
24/01/2003,162.51
27/01/2003,162.77
28/01/2003,162.78
29/01/2003,163.60
30/01/2003,158.78
31/01/2003,161.41
03/02/2003,161.85
04/02/2003,160.85
05/02/2003,158.73
06/02/2003,160.54
07/02/2003,162.55
10/02/2003,160.94
11/02/2003,159.89
12/02/2003,158.45
13/02/2003,153.81
14/02/2003,152.70
17/02/2003,151.44
18/02/2003,147.60
19/02/2003,145.58
20/02/2003,148.48
21/02/2003,146.82
24/02/2003,139.91
25/02/2003,141.93
26/02/2003,140.51
27/02/2003,141.48
28/02/2003,139.63
05/03/2003,136.08
06/03/2003,136.05
07/03/2003,138.33
10/03/2003,138.90
11/03/2003,134.84
12/03/2003,133.71
13/03/2003,133.38
14/03/2003,131.25
17/03/2003,126.79
18/03/2003,125.70
19/03/2003,126.22
20/03/2003,129.47
21/03/2003,129.16
24/03/2003,126.20
25/03/2003,125.37
26/03/2003,124.51
27/03/2003,124.87
28/03/2003,127.12
31/03/2003,126.87
01/04/2003,129.67
02/04/2003,131.06
03/04/2003,133.79
04/04/2003,131.83
07/04/2003,131.59
08/04/2003,127.50
09/04/2003,127.57
10/04/2003,127.34
11/04/2003,126.14
14/04/2003,123.55
15/04/2003,124.01
16/04/2003,123.09
17/04/2003,123.98
22/04/2003,123.64
23/04/2003,123.67
24/04/2003,122.54
25/04/2003,122.07
28/04/2003,120.07
29/04/2003,117.65
30/04/2003,117.83
02/05/2003,117.05
05/05/2003,117.85
06/05/2003,119.44
07/05/2003,118.50
08/05/2003,117.47
09/05/2003,115.79
12/05/2003,115.40
13/05/2003,115.11
14/05/2003,114.12
15/05/2003,115.72
16/05/2003,116.60
19/05/2003,115.03
20/05/2003,116.11
21/05/2003,116.63
22/05/2003,117.10
23/05/2003,116.06
26/05/2003,115.65
27/05/2003,114.37
28/05/2003,114.62
29/05/2003,113.09
30/05/2003,111.88
02/06/2003,112.97
03/06/2003,112.76
04/06/2003,110.99
05/06/2003,109.10
06/06/2003,103.15
09/06/2003,104.02
10/06/2003,104.80
11/06/2003,105.25
12/06/2003,105.61
13/06/2003,104.39
16/06/2003,104.75
17/06/2003,104.82
18/06/2003,104.82
20/06/2003,102.98
23/06/2003,103.99
24/06/2003,104.80
25/06/2003,104.18
26/06/2003,105.45
27/06/2003,105.27
30/06/2003,106.16
01/07/2003,107.70
02/07/2003,110.68
03/07/2003,109.46
04/07/2003,107.28
07/07/2003,108.12
08/07/2003,110.50
10/07/2003,111.74
11/07/2003,111.92
14/07/2003,112.01
15/07/2003,113.90
16/07/2003,114.96
17/07/2003,117.73
18/07/2003,119.21
21/07/2003,115.96
22/07/2003,117.69
23/07/2003,118.32
24/07/2003,119.38
25/07/2003,122.08
28/07/2003,123.28
29/07/2003,129.39
30/07/2003,131.39
31/07/2003,131.57
01/08/2003,135.71
04/08/2003,136.49
05/08/2003,133.15
06/08/2003,134.38
07/08/2003,135.08
08/08/2003,133.94
11/08/2003,132.62
12/08/2003,134.20
13/08/2003,134.35
14/08/2003,132.39
15/08/2003,132.15
18/08/2003,131.67
19/08/2003,131.67
20/08/2003,130.61
21/08/2003,132.92
22/08/2003,132.87
25/08/2003,132.68
26/08/2003,133.24
27/08/2003,132.89
28/08/2003,132.12
29/08/2003,132.00
01/09/2003,131.34
02/09/2003,131.43
03/09/2003,129.79
04/09/2003,129.46
05/09/2003,130.81
08/09/2003,132.69
09/09/2003,133.46
10/09/2003,132.32
11/09/2003,134.03
12/09/2003,133.61
15/09/2003,129.96
16/09/2003,125.11
17/09/2003,124.63
18/09/2003,125.77
19/09/2003,125.59
22/09/2003,126.02
23/09/2003,126.94
24/09/2003,127.48
25/09/2003,128.88
26/09/2003,127.44
29/09/2003,127.37
30/09/2003,126.66
01/10/2003,127.82
02/10/2003,126.92
03/10/2003,128.01
06/10/2003,125.46
07/10/2003,125.89
08/10/2003,123.77
09/10/2003,122.10
10/10/2003,123.06
13/10/2003,121.23
14/10/2003,121.10
15/10/2003,121.07
16/10/2003,120.94
17/10/2003,123.54
20/10/2003,123.52
21/10/2003,124.65
22/10/2003,125.12
23/10/2003,125.93
24/10/2003,126.37
27/10/2003,126.91
28/10/2003,129.82
29/10/2003,127.56
30/10/2003,128.35
31/10/2003,126.82
03/11/2003,126.16
04/11/2003,126.61
05/11/2003,127.50
06/11/2003,127.18
07/11/2003,127.15
10/11/2003,127.15
11/11/2003,127.08
12/11/2003,127.54
13/11/2003,127.95
14/11/2003,128.31
17/11/2003,128.05
18/11/2003,127.19
19/11/2003,127.16
20/11/2003,126.83
21/11/2003,126.40
24/11/2003,126.65
25/11/2003,126.79
26/11/2003,127.44
27/11/2003,128.13
28/11/2003,128.39
01/12/2003,128.97
02/12/2003,130.20
03/12/2003,131.68
04/12/2003,129.06
05/12/2003,129.56
08/12/2003,132.80
09/12/2003,131.23
10/12/2003,134.07
11/12/2003,132.89
12/12/2003,133.49
15/12/2003,130.27
16/12/2003,132.31
17/12/2003,134.62
18/12/2003,133.10
19/12/2003,132.81
22/12/2003,133.05
23/12/2003,132.71
26/12/2003,130.18
29/12/2003,130.64
30/12/2003,130.12
02/01/2004,129.87
05/01/2004,130.71
06/01/2004,133.12
07/01/2004,132.92
08/01/2004,133.23
09/01/2004,134.05
12/01/2004,135.64
13/01/2004,137.31
14/01/2004,136.50
15/01/2004,136.22
16/01/2004,137.58
19/01/2004,140.05
20/01/2004,143.19
21/01/2004,147.46
22/01/2004,145.82
23/01/2004,146.37
26/01/2004,151.60
27/01/2004,148.77
28/01/2004,147.60
29/01/2004,146.24
30/01/2004,141.70
02/02/2004,143.28
03/02/2004,142.88
04/02/2004,139.11
05/02/2004,136.89
06/02/2004,135.04
09/02/2004,134.48
10/02/2004,134.12
11/02/2004,134.41
12/02/2004,134.29
13/02/2004,134.17
16/02/2004,133.62
17/02/2004,132.30
18/02/2004,130.27
19/02/2004,128.01
20/02/2004,128.08
25/02/2004,128.48
26/02/2004,127.79
27/02/2004,128.67
01/03/2004,129.04
02/03/2004,128.09
03/03/2004,126.38
04/03/2004,125.38
05/03/2004,125.10
08/03/2004,125.36
09/03/2004,125.63
10/03/2004,124.92
11/03/2004,124.84
12/03/2004,125.51
15/03/2004,125.10
16/03/2004,126.34
17/03/2004,124.95
18/03/2004,124.57
19/03/2004,124.28
22/03/2004,123.98
23/03/2004,123.56
24/03/2004,123.49
25/03/2004,121.23
26/03/2004,121.54
29/03/2004,121.39
30/03/2004,120.56
31/03/2004,121.57
01/04/2004,121.77
02/04/2004,123.29
05/04/2004,121.93
06/04/2004,121.39
07/04/2004,121.60
08/04/2004,121.96
12/04/2004,121.75
13/04/2004,121.71
14/04/2004,120.94
15/04/2004,121.27
16/04/2004,122.26
19/04/2004,122.60
20/04/2004,122.50
22/04/2004,121.22
23/04/2004,122.92
26/04/2004,122.58
27/04/2004,123.07
28/04/2004,124.34
29/04/2004,123.81
30/04/2004,123.63
03/05/2004,123.63
04/05/2004,124.55
05/05/2004,124.66
06/05/2004,124.60
07/05/2004,124.20
10/05/2004,124.72
11/05/2004,126.56
12/05/2004,126.52
13/05/2004,126.37
14/05/2004,127.12
17/05/2004,127.69
18/05/2004,129.12
19/05/2004,132.75
20/05/2004,135.18
21/05/2004,136.47
24/05/2004,139.27
25/05/2004,141.40
26/05/2004,146.37
27/05/2004,142.88
28/05/2004,147.67
31/05/2004,145.87
01/06/2004,144.50
02/06/2004,145.07
03/06/2004,145.27
04/06/2004,145.62
07/06/2004,144.25
08/06/2004,143.99
09/06/2004,144.48
11/06/2004,145.28
14/06/2004,143.71
15/06/2004,140.33
16/06/2004,139.37
17/06/2004,133.98
18/06/2004,132.04
21/06/2004,129.00
22/06/2004,128.97
23/06/2004,131.98
24/06/2004,132.80
25/06/2004,130.62
28/06/2004,130.04
29/06/2004,131.56
30/06/2004,130.46
01/07/2004,130.75
02/07/2004,128.77
05/07/2004,124.41
06/07/2004,124.79
07/07/2004,125.10
08/07/2004,124.55
09/07/2004,124.95
12/07/2004,124.98
13/07/2004,125.55
14/07/2004,126.12
15/07/2004,127.13
16/07/2004,126.81
19/07/2004,127.90
20/07/2004,130.11
21/07/2004,130.08
22/07/2004,129.13
23/07/2004,128.37
26/07/2004,127.91
27/07/2004,129.10
28/07/2004,130.96
29/07/2004,130.94
30/07/2004,131.48
02/08/2004,129.71
03/08/2004,129.88
04/08/2004,129.65
05/08/2004,127.25
06/08/2004,128.63
09/08/2004,129.58
10/08/2004,130.28
11/08/2004,130.84
12/08/2004,131.01
13/08/2004,132.16
16/08/2004,133.72
17/08/2004,134.83
18/08/2004,133.12
19/08/2004,132.82
20/08/2004,133.03
23/08/2004,134.50
24/08/2004,135.77
25/08/2004,136.23
26/08/2004,136.64
27/08/2004,137.80
30/08/2004,137.68
31/08/2004,136.54
01/09/2004,137.06
02/09/2004,137.26
03/09/2004,136.37
06/09/2004,136.12
08/09/2004,136.43
09/09/2004,137.66
10/09/2004,138.97
13/09/2004,138.99
14/09/2004,139.12
15/09/2004,139.10
16/09/2004,139.73
17/09/2004,139.77
20/09/2004,140.09
21/09/2004,142.64
22/09/2004,145.40
23/09/2004,143.95
24/09/2004,144.25
27/09/2004,145.61
28/09/2004,144.18
29/09/2004,141.03
30/09/2004,141.36
01/10/2004,139.75
04/10/2004,138.74
05/10/2004,139.42
06/10/2004,139.94
07/10/2004,140.14
08/10/2004,139.87
11/10/2004,139.23
13/10/2004,137.04
14/10/2004,136.83
15/10/2004,138.32
18/10/2004,137.87
19/10/2004,136.98
20/10/2004,136.00
21/10/2004,134.96
22/10/2004,134.94
25/10/2004,134.71
26/10/2004,135.28
27/10/2004,136.45
28/10/2004,136.42
29/10/2004,134.40
01/11/2004,132.49
03/11/2004,133.69
04/11/2004,134.06
05/11/2004,134.78
08/11/2004,134.70
09/11/2004,135.57
10/11/2004,138.55
11/11/2004,138.28
12/11/2004,137.12
16/11/2004,137.71
17/11/2004,137.79
18/11/2004,137.22
19/11/2004,137.39
22/11/2004,137.64
23/11/2004,138.21
24/11/2004,137.89
25/11/2004,137.39
26/11/2004,137.20
29/11/2004,138.29
30/11/2004,138.66
01/12/2004,138.32
02/12/2004,141.23
03/12/2004,138.92
06/12/2004,137.77
07/12/2004,137.36
08/12/2004,137.38
09/12/2004,138.20
10/12/2004,137.68
13/12/2004,137.75
14/12/2004,137.77
15/12/2004,138.50
16/12/2004,140.10
17/12/2004,139.36
20/12/2004,140.60
21/12/2004,140.96
22/12/2004,138.43
23/12/2004,139.22
27/12/2004,139.32
28/12/2004,139.85
29/12/2004,139.62
30/12/2004,139.51
03/01/2005,139.56
04/01/2005,140.60
05/01/2005,143.27
06/01/2005,142.35
07/01/2005,141.62
10/01/2005,142.80
11/01/2005,143.18
12/01/2005,144.96
13/01/2005,145.26
14/01/2005,144.79
17/01/2005,145.44
18/01/2005,146.01
19/01/2005,147.31
20/01/2005,147.57
21/01/2005,147.48
24/01/2005,147.76
25/01/2005,147.99
26/01/2005,149.28
27/01/2005,148.93
28/01/2005,147.69
31/01/2005,148.60
01/02/2005,148.04
02/02/2005,149.54
03/02/2005,148.71
04/02/2005,149.94
09/02/2005,153.43
10/02/2005,153.00
11/02/2005,153.76
14/02/2005,153.83
15/02/2005,152.33
16/02/2005,155.94
17/02/2005,153.49
18/02/2005,153.37
21/02/2005,153.89
22/02/2005,153.23
23/02/2005,155.60
24/02/2005,154.73
25/02/2005,154.71
28/02/2005,154.20
01/03/2005,153.42
02/03/2005,155.72
03/03/2005,154.27
04/03/2005,154.64
07/03/2005,155.37
08/03/2005,157.16
09/03/2005,156.52
10/03/2005,157.58
11/03/2005,158.31
14/03/2005,158.26
15/03/2005,156.59
16/03/2005,155.88
17/03/2005,155.95
18/03/2005,155.16
21/03/2005,153.82
22/03/2005,152.03
23/03/2005,151.16
24/03/2005,146.84
28/03/2005,146.28
29/03/2005,150.19
30/03/2005,149.96
31/03/2005,151.61
01/04/2005,151.55
04/04/2005,150.72
05/04/2005,150.39
06/04/2005,151.23
07/04/2005,149.71
08/04/2005,147.72
11/04/2005,144.13
12/04/2005,144.56
13/04/2005,145.84
14/04/2005,143.85
15/04/2005,144.22
18/04/2005,144.94
19/04/2005,147.95
20/04/2005,149.61
22/04/2005,151.58
25/04/2005,152.20
26/04/2005,154.60
27/04/2005,154.42
28/04/2005,154.60
29/04/2005,154.22
02/05/2005,152.33
03/05/2005,151.93
04/05/2005,154.49
05/05/2005,154.28
06/05/2005,154.52
09/05/2005,155.22
10/05/2005,154.52
11/05/2005,155.87
12/05/2005,157.10
13/05/2005,159.61
16/05/2005,156.91
17/05/2005,159.00
18/05/2005,161.71
19/05/2005,164.19
20/05/2005,164.36
23/05/2005,164.69
24/05/2005,164.80
25/05/2005,165.44
27/05/2005,165.65
30/05/2005,165.29
31/05/2005,163.66
01/06/2005,162.11
02/06/2005,166.14
03/06/2005,167.40
06/06/2005,166.79
07/06/2005,169.79
08/06/2005,167.10
09/06/2005,167.06
10/06/2005,162.50
13/06/2005,155.49
14/06/2005,156.82
15/06/2005,159.60
16/06/2005,159.82
17/06/2005,159.48
20/06/2005,159.36
21/06/2005,159.11
22/06/2005,162.89
23/06/2005,159.93
24/06/2005,159.14
27/06/2005,152.49
28/06/2005,153.38
29/06/2005,155.36
30/06/2005,156.91
01/07/2005,157.12
04/07/2005,157.72
05/07/2005,159.75
06/07/2005,159.31
07/07/2005,159.21
08/07/2005,158.94
11/07/2005,157.91
12/07/2005,157.18
13/07/2005,157.52
14/07/2005,158.76
15/07/2005,158.22
18/07/2005,153.68
19/07/2005,146.83
20/07/2005,148.33
21/07/2005,149.94
22/07/2005,151.83
25/07/2005,154.94
26/07/2005,156.42
27/07/2005,156.70
28/07/2005,157.50
29/07/2005,156.07
01/08/2005,154.52
02/08/2005,155.27
03/08/2005,154.37
04/08/2005,156.12
05/08/2005,152.92
08/08/2005,151.38
09/08/2005,150.83
10/08/2005,149.71
11/08/2005,149.71
12/08/2005,151.33
15/08/2005,148.43
16/08/2005,147.27
17/08/2005,150.67
18/08/2005,146.09
19/08/2005,147.93
22/08/2005,148.42
23/08/2005,151.23
24/08/2005,150.03
25/08/2005,148.84
26/08/2005,146.09
29/08/2005,147.28
30/08/2005,148.46
31/08/2005,149.46
01/09/2005,152.03
02/09/2005,151.21
05/09/2005,150.55
06/09/2005,148.91
08/09/2005,145.75
09/09/2005,146.51
12/09/2005,147.39
13/09/2005,147.40
14/09/2005,147.63
15/09/2005,148.71
16/09/2005,146.50
19/09/2005,144.59
20/09/2005,146.94
21/09/2005,146.34
22/09/2005,146.56
23/09/2005,148.21
26/09/2005,144.74
27/09/2005,145.40
28/09/2005,145.29
29/09/2005,146.95
30/09/2005,147.21
03/10/2005,146.93
04/10/2005,146.40
05/10/2005,146.62
06/10/2005,147.03
07/10/2005,147.84
10/10/2005,149.09
11/10/2005,149.71
13/10/2005,149.62
14/10/2005,149.72
17/10/2005,150.50
18/10/2005,151.03
19/10/2005,151.93
20/10/2005,151.93
21/10/2005,151.29
24/10/2005,152.34
25/10/2005,153.33
26/10/2005,153.43
27/10/2005,153.96
28/10/2005,153.23
31/10/2005,153.53
01/11/2005,153.63
03/11/2005,155.98
04/11/2005,155.63
07/11/2005,157.19
08/11/2005,158.56
